58924,2068430662,telefono,109000,130800,kalane
90286,7124015762,teclado,111000,133200,mugen
32088,3455326779,corcho,28000,33600,bionu
55430,5182709345,papel cuadriculado,161000,193200,acerist
78435,5338931689,esponja,37000,44400,paleondo
71864,9069498205,camara,89000,106800,cryptocy
45622,1892246696,papel,121000,145200,laudore
59465,3027721673,fregona,64000,76800,olith
97193,3459572311,percha,58000,69600,amphicy
44988,2571113557,alfombrilla de raton,198000,237600,yoveo
34820,5820352584,talonario de cheques,135000,162000,gradimba
14231,6841664472,chocolate,14000,16800,octonoodle
92485,7094112724,tornillo,140000,168000,pixonti
32981,9657484115,aguja,193000,231600,intrando
16426,2068430662,casa,115000,138000,kalane
19136,7124015762,bloque de cemento,47000,56400,mugen
64908,3455326779,botella de agua,171000,205200,bionu
68059,5182709345,señal de stop,177000,212400,acerist
10286,5338931689,banda elastica,163000,195600,paleondo
30828,9069498205,Liga para el cabello,9000,10800,cryptocy
81346,1892246696,termometro,88000,105600,laudore
26795,3027721673,bandeja de hielo,57000,68400,olith
21716,2571113557,acera,94000,112800,yoveo
76644,5820352584,florero,80000,96000,gradimba
47421,6841664472,pinzas,24000,28800,octonoodle
24071,7094112724,videojuegos,9000,10800,pixonti
26091,9657484115,bolso,7000,8400,intrando
55688,2068430662,comida,88000,105600,kalane
18011,7124015762,barra luminosa,172000,206400,mugen
36905,3455326779,refrigerador,48000,57600,bionu
70638,5182709345,brillo de labios,18000,21600,acerist
79561,5338931689,sofa,172000,206400,paleondo
10510,9069498205,cremallera,61000,73200,cryptocy
94026,1892246696,radio,189000,226800,laudore
31697,3027721673,marco,14000,16800,olith
79841,3459572311,delineador de ojos,23000,27600,amphicy
30166,2571113557,peluches,64000,76800,yoveo
98836,5820352584,flores falsas,26000,31200,gradimba
68410,6841664472,album de fotos,38000,45600,octonoodle
11474,7094112724,envoltura de dulces,191000,229200,pixonti
33238,9657484115,carta de juego,114000,136800,intrando
27324,2068430662,cinturon de seguridad,180000,216000,kalane
60569,7124015762,columpio de llanta,83000,99600,mugen
84377,3455326779,tarjeta de credito,91000,109200,bionu
51466,5182709345,salida,28000,33600,acerist
71625,5338931689,botella,146000,175200,paleondo
22160,9069498205,lata de refresco,115000,138000,cryptocy
22410,1892246696,taladro de banco,112000,134400,laudore
52760,3027721673,muñeca,164000,196800,olith
91936,3459572311,alfombra,200000,240000,amphicy
29805,2571113557,calcetines,184000,220800,yoveo
64638,5820352584,cepillo de dientes,21000,25200,gradimba
29878,6841664472,carne de vaca,155000,186000,octonoodle
92982,7094112724,sofa,192000,230400,pixonti
54823,9657484115,escritorio,150000,180000,intrando
50061,2068430662,caja,115000,138000,kalane
14636,7124015762,almohada,70000,84000,mugen
32807,3455326779,arbol,187000,224400,bionu
98469,5182709345,cargador,33000,39600,acerist
18134,5338931689,abrazadera,170000,204000,paleondo
57252,9069498205,cama,189000,226800,cryptocy
32941,1892246696,papel de lija,33000,39600,laudore
77660,3027721673,altavoces,42000,50400,olith
68321,3459572311,zapatilla,35000,42000,amphicy
60412,2571113557,vaso,130000,156000,yoveo
23970,5820352584,controlador,20000,24000,gradimba
37094,6841664472,lona,194000,232800,octonoodle
25025,7094112724,cinta adhesiva,21000,25200,pixonti
69956,9657484115,borrador,192000,230400,intrando
